offset,seed,band,boots,how
6,4B24,0,1,measured
7,9475,0,1,measured
8,DDA6,0,1,measured
9,F076,0,1,measured
10,3541,0,1,measured
11,8364,0,1,measured
12,AB56,0,1,measured
13,F4BF,0,1,measured
14,3D9B,0,1,measured
15,86DB,0,1,measured
16,D01B,0,1,measured
17,1952,0,1,measured
18,18C1,0,1,measured
19,3B66,0,1,measured
20,85B5,0,1,measured
21,CD3E,0,1,measured
22,19DE,0,1,measured
23,5F0C,0,1,measured
24,A719,0,1,measured
25,EB98,0,1,measured
26,3960,0,1,measured
27,5976,0,1,measured
28,9790,0,1,measured
29,DFDF,0,1,measured
30,2919,0,1,measured
31,725F,0,1,measured
32,BBA7,0,1,measured
33,E46A,0,1,measured
34,F77E,0,1,measured
35,40B5,0,1,measured
36,8912,0,1,measured
37,D25B,0,1,measured
38,1B98,0,1,measured
39,64DB,0,1,measured
40,AA36,0,1,measured
41,F74E,0,1,measured
42,409B,0,1,measured
43,89DB,0,1,measured
44,884E,0,1,measured
45,ABDC,0,1,measured
46,F639,0,1,measured
47,3DF3,0,1,measured
48,8825,0,1,measured
49,D111,0,1,measured
50,1EFD,0,1,measured
51,6859,0,1,measured
52,AF91,0,1,measured
53,F0A7,0,1,measured
54,2EFC,0,1,measured
55,6EE9,0,1,measured
56,C1FB,0,1,measured
57,0BB6,0,1,measured
58,5470,0,1,measured
59,9CEF,0,1,measured
60,CBE4,0,1,measured
61,14F0,0,1,measured
62,5DDB,0,1,measured
63,A851,0,1,measured
64,F287,0,1,measured
65,3974,0,1,measured
66,8047,0,1,measured
67,C95D,0,1,measured
68,F261,0,1,measured
69,B18C,0,1,measured
70,CD3D,0,1,measured
71,1C77,0,1,measured
72,63F9,0,1,measured
73,AE3C,0,1,measured
74,F745,0,1,measured
75,401E,0,1,measured
76,89EB,0,1,measured
77,D37B,0,1,measured
78,461D,0,1,measured
79,6542,0,1,measured
80,AFB7,0,1,measured
81,F742,0,1,measured
82,42A3,0,1,measured
83,8A27,0,1,measured
84,D3F5,0,1,measured
85,18D6,0,1,measured
86,6300,0,1,measured
87,D7AB,0,1,measured
88,F883,0,1,measured
89,42F7,0,1,measured
90,8A80,0,1,measured
91,D4C1,0,1,measured
92,1D64,0,1,measured
93,672C,0,1,measured
94,B05B,0,1,measured
95,2447,0,1,measured
96,43CD,0,1,measured
97,8FAB,0,1,measured
98,D6B8,0,1,measured
99,1EB4,0,1,measured
100,6390,0,1,measured
101,B1E6,0,1,measured
102,FB93,0,1,measured
103,43F7,0,1,measured
104,B70C,0,1,measured
105,D701,0,1,measured
106,2172,0,1,measured
107,6903,0,1,measured
108,B344,0,1,measured
109,FBE7,0,1,measured
110,45B5,0,1,measured
111,8EDB,0,1,measured
112,02AB,0,1,measured
113,2162,0,1,measured
114,68C9,0,1,measured
115,AE3A,0,1,measured
116,FBFD,0,1,measured
117,448D,0,1,measured
118,8E14,0,1,measured
119,D7DE,0,1,measured
120,203C,0,1,measured
121,9577,0,1,measured
122,AEC4,0,1,measured
123,F7D4,0,1,measured
124,4176,0,1,measured
125,89F3,0,1,measured
126,D2DD,0,1,measured
127,1D8C,0,1,measured
128,6576,0,1,measured
129,ADEB,0,1,measured
130,EC39,0,1,measured
131,2DF6,0,1,measured
132,76BB,0,1,measured
133,C113,0,1,measured
134,0FFC,0,1,measured
135,52DA,0,1,measured
136,A05F,0,1,measured
137,EA41,0,1,measured
138,2E9E,0,1,measured
139,7C22,0,1,measured
140,C5E5,0,1,measured
141,0EA2,0,1,measured
142,584F,0,1,measured
143,82EB,0,1,measured
144,B1E0,0,1,measured
145,F0B9,0,1,measured
146,4424,0,1,measured
147,EA31,0,1,measured
148,22D9,0,1,measured
149,6E5C,0,1,measured
150,B6E1,0,1,measured
151,0033,0,1,measured
152,498D,0,1,measured
153,936B,0,1,measured
154,DCA6,0,1,measured
155,2542,0,1,measured
156,66DA,0,1,measured
157,A576,0,1,measured
158,EE13,0,1,measured
159,722A,0,1,measured
160,95C1,0,1,measured
161,E376,0,1,measured
162,2D20,0,1,measured
163,759C,0,1,measured
164,BF04,0,1,measured
165,0844,0,1,measured
166,51EB,0,1,measured
167,989E,0,1,measured
168,C533,0,1,measured
169,0EA2,0,1,measured
170,576C,0,1,measured
171,A096,0,1,measured
172,1EC9,0,1,measured
173,34CD,0,1,measured
174,7E91,0,1,measured
175,C227,0,1,measured
176,0F7C,0,1,measured
177,58BC,0,1,measured
178,A262,0,1,measured
179,EB34,0,1,measured
