offset,seed,band,boots,how
6,0279,0,1,measured
7,4BC9,0,1,measured
8,94FC,0,1,measured
9,A7BE,0,1,measured
10,EC9D,0,1,measured
11,3AB8,0,1,measured
12,62A6,0,1,measured
13,AC18,0,1,measured
14,F4EF,0,1,measured
15,3E2F,0,1,measured
16,876F,0,1,measured
17,D0A6,0,1,measured
18,D062,0,1,measured
19,F2EF,0,1,measured
20,3EEF,0,1,measured
21,85C9,0,1,measured
22,CE75,0,1,measured
23,17BC,0,1,measured
24,619A,0,1,measured
25,A309,0,1,measured
26,F1BE,0,1,measured
27,10D0,0,1,measured
28,4EE7,0,1,measured
29,9733,0,1,measured
30,E077,0,1,measured
31,29B3,0,1,measured
32,72FB,0,1,measured
33,9BBA,0,1,measured
34,AECD,0,1,measured
35,F811,0,1,measured
36,4070,0,1,measured
37,89AF,0,1,measured
38,D2EF,0,1,measured
39,1C2F,0,1,measured
40,6187,0,1,measured
41,AEA7,0,1,measured
42,F7E6,0,1,measured
43,412F,0,1,measured
44,3FE5,0,1,measured
45,6369,0,1,measured
46,ADD6,0,1,measured
47,F55C,0,1,measured
48,3FBC,0,1,measured
49,889C,0,1,measured
50,D93A,0,1,measured
51,1D67,0,1,measured
52,666E,0,1,measured
53,A7FE,0,1,measured
54,E642,0,1,measured
55,2643,0,1,measured
56,796E,0,1,measured
57,C349,0,1,measured
58,0BE5,0,1,measured
59,5443,0,1,measured
60,8359,0,1,measured
61,CC3E,0,1,measured
62,153D,0,1,measured
63,5F99,0,1,measured
64,AA11,0,1,measured
65,F0E6,0,1,measured
66,37A2,0,1,measured
67,80A8,0,1,measured
68,A9B4,0,1,measured
69,692F,0,1,measured
70,84C7,0,1,measured
71,D418,0,1,measured
72,1B6D,0,1,measured
73,65C3,0,1,measured
74,AEC3,0,1,measured
75,F778,0,1,measured
76,418E,0,1,measured
77,8B15,0,1,measured
78,FDBD,0,1,measured
79,1CCA,0,1,measured
80,68F5,0,1,measured
81,AFBF,0,1,measured
82,F78D,0,1,measured
83,4178,0,1,measured
84,8B8C,0,1,measured
85,D06D,0,1,measured
86,1A51,0,1,measured
87,8F4A,0,1,measured
88,B00B,0,1,measured
89,FA8F,0,1,measured
90,41E7,0,1,measured
91,8C4B,0,1,measured
92,D4B8,0,1,measured
93,1ED3,0,1,measured
94,67F0,0,1,measured
95,DDE3,0,1,measured
96,FCC1,0,1,measured
97,43F9,0,1,measured
98,8E3F,0,1,measured
99,D751,0,1,measured
100,1AF1,0,1,measured
101,6934,0,1,measured
102,B33E,0,1,measured
103,FB74,0,1,measured
104,6EB0,0,1,measured
105,8E97,0,1,measured
106,D909,0,1,measured
