offset,seed,band,boots,how
8,7B07,0,1,measured
9,C3DA,0,1,measured
10,0D1A,0,1,measured
11,565C,0,1,measured
12,9F97,0,1,measured
13,9F0A,0,1,measured
14,C1B1,0,1,measured
15,0BF3,0,1,measured
16,0BF3,0,1,measured
17,537D,0,1,measured
22,DFBF,0,1,measured
23,1DD6,0,1,measured
25,AF64,0,1,measured
27,41E7,0,1,measured
28,6AB2,0,1,measured
29,7DBD,0,1,measured
30,C6FD,0,1,measured
31,0F5A,0,1,measured
35,3076,0,1,measured
36,7D99,0,1,measured
37,7D99,0,1,measured
38,C6E4,0,1,measured
39,101A,0,1,measured
40,0E8F,0,1,measured
42,7DFD,0,1,measured
43,C54D,0,1,measured
45,5584,0,1,measured
46,A788,0,1,measured
47,EC5E,0,1,measured
51,F53A,0,1,measured
52,484D,0,1,measured
54,DAC1,0,1,measured
56,9B99,0,1,measured
57,E4F9,0,1,measured
58,2F1F,0,1,measured
60,BFB2,0,1,measured
64,37CB,0,1,measured
65,537D,0,1,measured
66,A2B6,0,1,measured
67,EA44,0,1,measured
69,7C5B,0,1,measured
71,12AF,0,1,measured
72,55FE,0,1,measured
73,CB11,0,1,measured
74,EB89,0,1,measured
76,7D81,0,1,measured
77,C7CC,0,1,measured
78,106A,0,1,measured
79,5A35,0,1,measured
80,9EC2,0,1,measured
85,10BE,0,1,measured
86,5C23,0,1,measured
87,A3B4,0,1,measured
88,EDA1,0,1,measured
89,EDA1,0,1,measured
90,36E9,0,1,measured
91,AB0A,0,1,measured
93,146C,0,1,measured
94,5C18,0,1,measured
95,E972,0,1,measured
99,3DC1,0,1,measured
100,5D52,0,1,measured
101,A938,0,1,measured
102,F05E,0,1,measured
103,382F,0,1,measured
104,8238,0,1,measured
105,CBF4,0,1,measured
106,1574,0,1,measured
107,87B0,0,1,measured
108,A654,0,1,measured
109,F0AC,0,1,measured
114,1461,0,1,measured
115,5E47,0,1,measured
116,A7C8,0,1,measured
117,1DD3,0,1,measured
118,3503,0,1,measured
119,7E83,0,1,measured
121,591E,0,1,measured
127,FD04,0,1,measured
128,475C,0,1,measured
129,963C,0,1,measured
130,D92B,0,1,measured
131,2777,0,1,measured
132,6FEC,0,1,measured
133,B4E6,0,1,measured
134,02FB,0,1,measured
135,4B9C,0,1,measured
141,CA69,0,1,measured
142,703C,0,1,measured
143,A924,0,1,measured
145,3D2A,0,1,measured
146,86B9,0,1,measured
147,D062,0,1,measured
148,1931,0,1,measured
149,6255,0,1,measured
150,AB89,0,1,measured
152,2B6C,0,1,measured
155,1C05,0,1,measured
156,69B8,0,1,measured
160,8E84,0,1,measured
162,1EEE,0,1,measured
163,4B7C,0,1,measured
164,94EE,0,1,measured
167,A380,0,1,measured
169,0462,0,1,measured
170,491F,0,1,measured
176,E5E1,0,1,measured
177,1363,0,1,measured
178,5C6D,0,1,measured
179,A52E,0,1,measured
183,1B06,0,1,measured
184,647E,0,1,measured
185,A989,0,1,measured
190,1BC6,0,1,measured
191,6702,0,1,measured
192,AC5E,0,1,measured
193,18F8,0,1,measured
194,4075,0,1,measured
196,D94D,0,1,measured
197,1F85,0,1,measured
198,693D,0,1,measured
199,B3A3,0,1,measured
204,0A4C,0,1,measured
205,53A8,0,1,measured
206,D735,0,1,measured
207,0894,0,1,measured
208,520F,0,1,measured
209,9D8F,0,1,measured
210,E3E2,0,1,measured
211,2D58,0,1,measured
212,7A71,0,1,measured
218,0A56,0,1,measured
219,8D68,0,1,measured
221,FD1C,0,1,measured
222,4401,0,1,measured
223,8CCF,0,1,measured
225,1FC5,0,1,measured
226,688D,0,1,measured
228,D826,0,1,measured
232,F35E,0,1,measured
233,3884,0,1,measured
234,814E,0,1,measured
236,1409,0,1,measured
237,5D90,0,1,measured
238,A64B,0,1,measured
239,EF7B,0,1,measured
240,38D7,0,1,measured
241,6434,0,1,measured
244,A519,0,1,measured
246,03C1,0,1,measured
247,4D85,0,1,measured
248,950B,0,1,measured
251,7235,0,1,measured
252,BA13,0,1,measured
253,FBCC,0,1,measured
254,3A11,0,1,measured
255,82E2,0,1,measured
258,9846,0,1,measured
260,268F,0,1,measured
261,7449,0,1,measured
262,BC71,0,1,measured
263,066A,0,1,measured
267,C718,0,1,measured
268,1C1C,0,1,measured
269,5B34,0,1,measured
270,A481,0,1,measured
271,18AE,0,1,measured
275,2F74,0,1,measured
276,7446,0,1,measured
277,C28E,0,1,measured
278,0B38,0,1,measured
281,E29B,0,1,measured
282,2948,0,1,measured
283,D869,0,1,measured
284,03A5,0,1,measured
288,289D,0,1,measured
289,8B61,0,1,measured
291,042B,0,1,measured
295,290A,0,1,measured
296,9103,0,1,measured
297,BF6D,0,1,measured
301,3969,0,1,measured
302,749F,0,1,measured
309,4EE9,0,1,measured
310,7AE8,0,1,measured
311,C60A,0,1,measured
312,0CCB,0,1,measured
313,5666,0,1,measured
314,9F9B,0,1,measured
315,0053,0,1,measured
316,31FF,0,1,measured
317,AE61,0,1,measured
322,29DC,0,1,measured
324,7304,0,1,measured
325,BCA0,0,1,measured
326,0646,0,1,measured
327,4DF6,0,1,measured
328,97AC,0,1,measured
329,E095,0,1,measured
330,290D,0,1,measured
331,6C04,0,1,measured
332,A904,0,1,measured
