offset,seed,band,boots,how
7,2A92,0,1,measured
8,740C,0,1,measured
10,0619,0,1,measured
12,989A,0,1,measured
14,BAA3,0,1,measured
15,04F6,0,1,measured
16,04F6,0,1,measured
17,4C85,0,1,measured
21,B90A,0,1,measured
22,D8CD,0,1,measured
23,16CF,0,1,measured
25,A862,0,1,measured
26,F1A7,0,1,measured
28,63A7,0,1,measured
29,76C2,0,1,measured
30,BFFC,0,1,measured
32,519C,0,1,measured
35,2972,0,1,measured
36,769D,0,1,measured
37,769D,0,1,measured
38,BFDA,0,1,measured
40,0954,0,1,measured
41,2C87,0,1,measured
42,73E0,0,1,measured
43,BE46,0,1,measured
44,05EF,0,1,measured
45,4E89,0,1,measured
49,6FF2,0,1,measured
50,AE3E,0,1,measured
51,EE3F,0,1,measured
52,4143,0,1,measured
55,1D33,0,1,measured
57,DE07,0,1,measured
61,FF8F,0,1,measured
63,71A9,0,1,measured
64,30D0,0,1,measured
65,4C7E,0,1,measured
68,2D8C,0,1,measured
69,76EE,0,1,measured
70,BF61,0,1,measured
71,0920,0,1,measured
72,5180,0,1,measured
73,C4FC,0,1,measured
75,2EFC,0,1,measured
76,7684,0,1,measured
77,C0BF,0,1,measured
78,0975,0,1,measured
79,533C,0,1,measured
84,C3C0,0,1,measured
85,0AD2,0,1,measured
86,5295,0,1,measured
88,E674,0,1,measured
89,E674,0,1,measured
92,C309,0,1,measured
93,0D76,0,1,measured
94,550B,0,1,measured
96,3131,0,1,measured
98,C47E,0,1,measured
99,388A,0,1,measured
100,57A5,0,1,measured
101,9F22,0,1,measured
102,E960,0,1,measured
104,7B33,0,1,measured
105,C4EF,0,1,measured
106,0E78,0,1,measured
107,80A6,0,1,measured
108,9F59,0,1,measured
109,E9B1,0,1,measured
113,C364,0,1,measured
114,0D64,0,1,measured
115,59BB,0,1,measured
116,9D02,0,1,measured
117,13DC,0,1,measured
118,2E0E,0,1,measured
120,C0B9,0,1,measured
121,5225,0,1,measured
124,2DDF,0,1,measured
126,AE53,0,1,measured
127,F609,0,1,measured
128,3F41,0,1,measured
129,90A0,0,1,measured
130,D227,0,1,measured
131,1FA1,0,1,measured
132,6981,0,1,measured
133,ADD8,0,1,measured
134,FB77,0,1,measured
140,7098,0,1,measured
141,C2D4,0,1,measured
142,69C7,0,1,measured
144,EDE7,0,1,measured
145,3630,0,1,measured
146,7F73,0,1,measured
147,C8D1,0,1,measured
148,12BA,0,1,measured
149,5BE3,0,1,measured
150,A493,0,1,measured
154,F10D,0,1,measured
155,1504,0,1,measured
156,62B7,0,1,measured
158,F4DC,0,1,measured
159,3FC1,0,1,measured
160,87DC,0,1,measured
161,CEBF,0,1,measured
162,170A,0,1,measured
163,4484,0,1,measured
165,D6BD,0,1,measured
168,B40A,0,1,measured
169,FD6D,0,1,measured
170,4225,0,1,measured
174,6BEC,0,1,measured
175,B31E,0,1,measured
176,DE9F,0,1,measured
177,0C5D,0,1,measured
182,CB21,0,1,measured
183,13F1,0,1,measured
184,5D7D,0,1,measured
189,CDF6,0,1,measured
190,14AF,0,1,measured
191,5E33,0,1,measured
192,A788,0,1,measured
193,125A,0,1,measured
196,D24A,0,1,measured
197,1883,0,1,measured
203,BDCD,0,1,measured
204,0350,0,1,measured
205,4CAE,0,1,measured
207,0196,0,1,measured
210,DCDF,0,1,measured
211,26A6,0,1,measured
212,710F,0,1,measured
213,B5EA,0,1,measured
214,FEE5,0,1,measured
215,1F08,0,1,measured
217,B9F9,0,1,measured
218,035D,0,1,measured
219,8807,0,1,measured
220,AAF4,0,1,measured
221,F481,0,1,measured
222,3D04,0,1,measured
223,85C8,0,1,measured
224,CF08,0,1,measured
225,18C3,0,1,measured
226,6194,0,1,measured
231,A121,0,1,measured
232,EC5A,0,1,measured
234,7B1E,0,1,measured
235,C37C,0,1,measured
236,0CCB,0,1,measured
238,9F41,0,1,measured
239,E87F,0,1,measured
240,31D7,0,1,measured
241,5D3D,0,1,measured
242,8803,0,1,measured
245,AED4,0,1,measured
246,FCBE,0,1,measured
247,4683,0,1,measured
249,D84F,0,1,measured
250,21B6,0,1,measured
251,69C7,0,1,measured
252,B312,0,1,measured
253,F4D1,0,1,measured
254,3311,0,1,measured
256,C50F,0,1,measured
259,DA6D,0,1,measured
260,1F9D,0,1,measured
262,B577,0,1,measured
264,48F5,0,1,measured
265,9130,0,1,measured
266,9129,0,1,measured
267,BFCC,0,1,measured
268,1524,0,1,measured
269,543D,0,1,measured
270,9D82,0,1,measured
274,DF34,0,1,measured
275,287A,0,1,measured
276,6D46,0,1,measured
280,9311,0,1,measured
281,DBA1,0,1,measured
282,2245,0,1,measured
284,FCA0,0,1,measured
285,45B0,0,1,measured
287,D812,0,1,measured
288,21AB,0,1,measured
294,DA49,0,1,measured
295,2260,0,1,measured
296,88EE,0,1,measured
297,B870,0,1,measured
298,561F,0,1,measured
299,A029,0,1,measured
300,E94A,0,1,measured
301,2F0A,0,1,measured
302,6CB9,0,1,measured
303,B5F3,0,1,measured
307,7EB8,0,1,measured
308,C7F9,0,1,measured
309,4990,0,1,measured
310,73E5,0,1,measured
