offset,seed,band,boots,how
6,0279,0,1,measured
7,4BC9,0,1,measured
8,94FC,0,1,measured
9,A7BE,0,1,measured
10,EC9D,0,1,measured
11,3AB8,0,1,measured
12,62A6,0,1,measured
13,AC18,0,1,measured
14,F4EF,0,1,measured
15,3E2F,0,1,measured
16,876F,0,1,measured
17,D0A6,0,1,measured
18,D015,0,1,measured
19,F2B7,0,1,measured
20,3E8B,0,1,measured
21,85A3,0,1,measured
22,CE43,0,1,measured
23,1792,0,1,measured
24,616F,0,1,measured
25,A2E3,0,1,measured
26,F198,0,1,measured
27,10DA,0,1,measured
28,4EE4,0,1,measured
29,973B,0,1,measured
30,E06D,0,1,measured
31,29B3,0,1,measured
32,72FB,0,1,measured
33,9BBA,0,1,measured
34,AECD,0,1,measured
35,F808,0,1,measured
36,4070,0,1,measured
37,89AF,0,1,measured
38,D2EF,0,1,measured
39,1C2F,0,1,measured
40,6187,0,1,measured
41,AEA7,0,1,measured
42,F7E6,0,1,measured
43,412F,0,1,measured
44,3F99,0,1,measured
45,6330,0,1,measured
46,AD8F,0,1,measured
47,F544,0,1,measured
48,3F8A,0,1,measured
49,8856,0,1,measured
50,D900,0,1,measured
51,1D5F,0,1,measured
52,666E,0,1,measured
53,A7FE,0,1,measured
54,E642,0,1,measured
55,2643,0,1,measured
56,7958,0,1,measured
57,C312,0,1,measured
58,0BC4,0,1,measured
59,5443,0,1,measured
60,8338,0,1,measured
61,CC3E,0,1,measured
62,1535,0,1,measured
63,5F99,0,1,measured
64,A9E3,0,1,measured
65,F0CB,0,1,measured
66,3799,0,1,measured
67,80B5,0,1,measured
68,A9B4,0,1,measured
69,68E3,0,1,measured
70,8491,0,1,measured
71,D3BD,0,1,measured
72,1B56,0,1,measured
73,6590,0,1,measured
74,AE8B,0,1,measured
75,F76F,0,1,measured
76,413B,0,1,measured
77,8ACF,0,1,measured
78,FD77,0,1,measured
79,1C8A,0,1,measured
80,6891,0,1,measured
81,AF8C,0,1,measured
82,F75B,0,1,measured
83,4178,0,1,measured
84,8B40,0,1,measured
85,D02A,0,1,measured
86,1A54,0,1,measured
87,8EFF,0,1,measured
88,AFD7,0,1,measured
89,FA3B,0,1,measured
90,41D6,0,1,measured
91,8C10,0,1,measured
92,D4C1,0,1,measured
93,1E80,0,1,measured
94,67AF,0,1,measured
95,DD53,0,1,measured
96,FC76,0,1,measured
97,43EC,0,1,measured
98,8E0C,0,1,measured
99,D721,0,1,measured
100,1AE7,0,1,measured
101,693A,0,1,measured
102,B2E7,0,1,measured
103,FB46,0,1,measured
104,6E5D,0,1,measured
105,8E54,0,1,measured
106,D8B8,0,1,measured
107,2060,0,1,measured
