offset,seed,band,boots,how
8,F407,0,1,measured
9,3CDA,0,1,measured
10,861A,0,1,measured
11,CF5C,0,1,measured
12,1897,0,1,measured
13,180A,0,1,measured
14,3AB1,0,1,measured
15,84F3,0,1,measured
16,84F3,0,1,measured
17,CC7D,0,1,measured
22,58BF,0,1,measured
23,96D6,0,1,measured
25,2864,0,1,measured
27,BAE7,0,1,measured
28,E3B2,0,1,measured
29,F6BD,0,1,measured
30,3FFD,0,1,measured
31,885A,0,1,measured
35,A976,0,1,measured
36,F699,0,1,measured
37,F699,0,1,measured
38,3FE4,0,1,measured
39,891A,0,1,measured
40,878F,0,1,measured
42,F6FD,0,1,measured
43,3E4D,0,1,measured
45,CE84,0,1,measured
46,2088,0,1,measured
47,655E,0,1,measured
51,6E3A,0,1,measured
52,C14D,0,1,measured
53,0AFE,0,1,measured
54,53C1,0,1,measured
56,1499,0,1,measured
57,5DF9,0,1,measured
58,A81F,0,1,measured
60,38B2,0,1,measured
64,B0CB,0,1,measured
65,CC7D,0,1,measured
66,1BB6,0,1,measured
67,6344,0,1,measured
69,F55B,0,1,measured
71,8BAF,0,1,measured
72,CEFE,0,1,measured
73,4411,0,1,measured
74,6489,0,1,measured
76,F681,0,1,measured
77,40CC,0,1,measured
78,896A,0,1,measured
79,D335,0,1,measured
80,17C2,0,1,measured
85,89BE,0,1,measured
86,D523,0,1,measured
87,1CB4,0,1,measured
88,66A1,0,1,measured
89,66A1,0,1,measured
90,AFE9,0,1,measured
91,240A,0,1,measured
93,8D6C,0,1,measured
94,D518,0,1,measured
95,6272,0,1,measured
99,B6C1,0,1,measured
100,D652,0,1,measured
101,2238,0,1,measured
102,695E,0,1,measured
103,B12F,0,1,measured
104,FB38,0,1,measured
105,44F4,0,1,measured
106,8E74,0,1,measured
107,00B0,0,1,measured
108,1F54,0,1,measured
109,69AC,0,1,measured
114,8D61,0,1,measured
115,D747,0,1,measured
116,20C8,0,1,measured
117,96D3,0,1,measured
118,AE03,0,1,measured
119,F783,0,1,measured
121,D21E,0,1,measured
127,7604,0,1,measured
128,C05C,0,1,measured
129,0F3C,0,1,measured
130,522B,0,1,measured
131,A077,0,1,measured
132,E8EC,0,1,measured
133,2DE6,0,1,measured
134,7BFB,0,1,measured
135,C49C,0,1,measured
141,4369,0,1,measured
142,E93C,0,1,measured
143,2224,0,1,measured
145,B62A,0,1,measured
146,FFB9,0,1,measured
147,4962,0,1,measured
148,9231,0,1,measured
149,DB55,0,1,measured
150,2489,0,1,measured
152,A46C,0,1,measured
155,9505,0,1,measured
156,E2B8,0,1,measured
160,0784,0,1,measured
162,97EE,0,1,measured
163,C47C,0,1,measured
164,0DEE,0,1,measured
167,1C80,0,1,measured
169,7D62,0,1,measured
170,C21F,0,1,measured
176,5EE1,0,1,measured
177,8C63,0,1,measured
178,D56D,0,1,measured
179,1E2E,0,1,measured
183,9406,0,1,measured
184,DD7E,0,1,measured
185,2289,0,1,measured
186,6DC8,0,1,measured
190,94C6,0,1,measured
191,E002,0,1,measured
