offset,seed,band,boots,how
6,09AC,0,1,measured
7,3195,0,1,measured
8,7B0A,0,1,measured
9,C3DA,0,1,measured
10,0D16,0,1,measured
11,565A,0,1,measured
12,9F9A,0,1,measured
13,A152,0,1,measured
14,C34B,0,1,measured
15,0A71,0,1,measured
16,0A71,0,1,measured
17,54B4,0,1,measured
18,E6B3,0,1,measured
19,3099,0,1,measured
20,71FD,0,1,measured
21,C0B6,0,1,measured
22,DFCB,0,1,measured
23,1DD2,0,1,measured
24,6623,0,1,measured
25,AF6C,0,1,measured
26,F8B0,0,1,measured
27,41F0,0,1,measured
28,6AAA,0,1,measured
29,7DBF,0,1,measured
30,C6FF,0,1,measured
31,0F56,0,1,measured
32,589A,0,1,measured
33,A1DA,0,1,measured
34,EB1A,0,1,measured
35,3076,0,1,measured
36,7D9A,0,1,measured
37,7D9A,0,1,measured
38,C6DA,0,1,measured
39,1016,0,1,measured
40,0EE7,0,1,measured
41,325D,0,1,measured
42,7CCD,0,1,measured
43,C451,0,1,measured
44,0FE5,0,1,measured
45,5588,0,1,measured
46,A677,0,1,measured
47,EC5F,0,1,measured
48,3566,0,1,measured
49,76E9,0,1,measured
50,B543,0,1,measured
51,F53F,0,1,measured
52,4862,0,1,measured
53,9230,0,1,measured
54,DA27,0,1,measured
55,2336,0,1,measured
56,9B30,0,1,measured
57,E427,0,1,measured
58,30D9,0,1,measured
59,7652,0,1,measured
60,BEF0,0,1,measured
61,0690,0,1,measured
62,4FA5,0,1,measured
63,78AC,0,1,measured
64,381B,0,1,measured
65,53B3,0,1,measured
66,A304,0,1,measured
67,EA64,0,1,measured
68,34B2,0,1,measured
69,7C70,0,1,measured
70,C668,0,1,measured
71,107B,0,1,measured
72,5A07,0,1,measured
73,CEA6,0,1,measured
74,ED30,0,1,measured
75,347D,0,1,measured
76,7ED2,0,1,measured
77,C66C,0,1,measured
78,106B,0,1,measured
79,5A87,0,1,measured
80,9F66,0,1,measured
81,E93F,0,1,measured
82,5E3D,0,1,measured
83,7F01,0,1,measured
84,C983,0,1,measured
85,10DB,0,1,measured
86,5B32,0,1,measured
87,A3A6,0,1,measured
88,F063,0,1,measured
89,F063,0,1,measured
90,35D7,0,1,measured
91,AAE2,0,1,measured
92,CA41,0,1,measured
93,14C7,0,1,measured
94,5C2E,0,1,measured
95,E982,0,1,measured
96,3831,0,1,measured
97,823E,0,1,measured
98,CBCE,0,1,measured
99,3E15,0,1,measured
100,5D81,0,1,measured
101,A800,0,1,measured
102,EF66,0,1,measured
103,3AF9,0,1,measured
104,8231,0,1,measured
105,CC65,0,1,measured
106,15C2,0,1,measured
107,87FA,0,1,measured
108,A68C,0,1,measured
109,F0FA,0,1,measured
110,33A3,0,1,measured
111,33A3,0,1,measured
112,82B4,0,1,measured
113,CA80,0,1,measured
114,1461,0,1,measured
115,5E8A,0,1,measured
116,A809,0,1,measured
117,1C6F,0,1,measured
118,3544,0,1,measured
119,808E,0,1,measured
120,C72A,0,1,measured
121,593C,0,1,measured
122,A2ED,0,1,measured
123,EBE0,0,1,measured
124,342A,0,1,measured
125,7298,0,1,measured
126,B435,0,1,measured
127,FD11,0,1,measured
128,4779,0,1,measured
129,9641,0,1,measured
130,D92B,0,1,measured
131,269E,0,1,measured
132,7096,0,1,measured
133,B525,0,1,measured
134,0324,0,1,measured
135,4B93,0,1,measured
136,94E3,0,1,measured
137,DE48,0,1,measured
138,094C,0,1,measured
139,3840,0,1,measured
140,7702,0,1,measured
141,CA80,0,1,measured
142,7036,0,1,measured
143,A921,0,1,measured
144,F4C2,0,1,measured
145,3D27,0,1,measured
146,8672,0,1,measured
147,CFD4,0,1,measured
148,1A1C,0,1,measured
149,625C,0,1,measured
150,AB86,0,1,measured
151,ED17,0,1,measured
152,2B76,0,1,measured
153,7466,0,1,measured
154,F852,0,1,measured
155,1C37,0,1,measured
156,69ED,0,1,measured
157,B3A3,0,1,measured
158,FBE5,0,1,measured
159,4582,0,1,measured
160,8EC2,0,1,measured
161,D861,0,1,measured
162,1EF6,0,1,measured
163,4B7B,0,1,measured
164,94E7,0,1,measured
165,DDB6,0,1,measured
166,26E8,0,1,measured
167,A3B5,0,1,measured
168,BB44,0,1,measured
169,04A1,0,1,measured
170,4954,0,1,measured
171,963C,0,1,measured
172,DF15,0,1,measured
173,285E,0,1,measured
174,7206,0,1,measured
175,BAF1,0,1,measured
176,E483,0,1,measured
177,1493,0,1,measured
178,5CB2,0,1,measured
179,A52F,0,1,measured
180,5834,0,1,measured
181,8943,0,1,measured
182,D266,0,1,measured
183,1AF0,0,1,measured
184,64B1,0,1,measured
185,A9C2,0,1,measured
186,F4D0,0,1,measured
187,597C,0,1,measured
188,8A04,0,1,measured
189,D326,0,1,measured
190,1BC9,0,1,measured
191,6568,0,1,measured
192,AF16,0,1,measured
193,1BE8,0,1,measured
194,40B0,0,1,measured
195,8DD5,0,1,measured
196,D94D,0,1,measured
197,1FC0,0,1,measured
198,6921,0,1,measured
199,B63F,0,1,measured
200,F002,0,1,measured
201,429B,0,1,measured
202,8353,0,1,measured
203,C4CE,0,1,measured
204,0A4A,0,1,measured
205,53B0,0,1,measured
206,D5CA,0,1,measured
207,08C5,0,1,measured
208,5418,0,1,measured
209,9D96,0,1,measured
210,E422,0,1,measured
211,2D92,0,1,measured
212,7AA6,0,1,measured
213,BDBE,0,1,measured
214,05E8,0,1,measured
215,2610,0,1,measured
216,7B8C,0,1,measured
217,C0FC,0,1,measured
218,0A5A,0,1,measured
219,8D9B,0,1,measured
220,B226,0,1,measured
221,FB47,0,1,measured
222,44FB,0,1,measured
223,8E6E,0,1,measured
224,D630,0,1,measured
225,1FD7,0,1,measured
226,68C5,0,1,measured
227,B110,0,1,measured
228,D84B,0,1,measured
229,157E,0,1,measured
230,5970,0,1,measured
231,A843,0,1,measured
232,F359,0,1,measured
233,3884,0,1,measured
234,8142,0,1,measured
235,CB32,0,1,measured
236,13C4,0,1,measured
237,5D0A,0,1,measured
238,A743,0,1,measured
239,EF7C,0,1,measured
240,38D7,0,1,measured
241,6448,0,1,measured
242,8E79,0,1,measured
243,D77F,0,1,measured
244,A53B,0,1,measured
245,B5ED,0,1,measured
246,03DD,0,1,measured
247,4DBA,0,1,measured
248,9507,0,1,measured
249,DF28,0,1,measured
250,2789,0,1,measured
251,7205,0,1,measured
