offset,seed,band,boots,how
7,2A92,0,1,measured
8,740C,0,1,measured
10,0619,0,1,measured
12,989A,0,1,measured
13,9855,0,1,measured
14,BAE3,0,1,measured
17,4C85,0,1,measured
21,B930,0,1,measured
22,D8CD,0,1,measured
23,16CF,0,1,measured
25,A862,0,1,measured
26,F1A7,0,1,measured
28,63A7,0,1,measured
29,76C2,0,1,measured
30,BFFC,0,1,measured
32,519C,0,1,measured
35,2972,0,1,measured
36,769D,0,1,measured
37,769D,0,1,measured
38,BFDA,0,1,measured
40,09D7,0,1,measured
41,2CCF,0,1,measured
42,7400,0,1,measured
43,BE79,0,1,measured
44,0617,0,1,measured
45,4E85,0,1,measured
46,A0BF,0,1,measured
47,E558,0,1,measured
50,AE3E,0,1,measured
51,EE3F,0,1,measured
52,4159,0,1,measured
53,8B35,0,1,measured
55,1D4B,0,1,measured
56,942A,0,1,measured
57,DE15,0,1,measured
58,2846,0,1,measured
63,71A9,0,1,measured
64,311C,0,1,measured
67,E358,0,1,measured
69,771B,0,1,measured
70,BF6A,0,1,measured
71,096D,0,1,measured
72,51B4,0,1,measured
73,C548,0,1,measured
74,E4B8,0,1,measured
75,2F41,0,1,measured
76,7698,0,1,measured
77,C0EF,0,1,measured
78,096D,0,1,measured
79,5387,0,1,measured
84,C41E,0,1,measured
85,0B12,0,1,measured
86,52AB,0,1,measured
88,E6C0,0,1,measured
89,E6C0,0,1,measured
90,303C,0,1,measured
92,C345,0,1,measured
93,0DC8,0,1,measured
94,5527,0,1,measured
96,3126,0,1,measured
98,C4CA,0,1,measured
99,390D,0,1,measured
100,57F3,0,1,measured
101,9F35,0,1,measured
103,314E,0,1,measured
105,C539,0,1,measured
106,0EC4,0,1,measured
113,C37D,0,1,measured
114,0D64,0,1,measured
115,5A53,0,1,measured
116,9D00,0,1,measured
117,141B,0,1,measured
119,774A,0,1,measured
120,C0F9,0,1,measured
121,523D,0,1,measured
124,2DF9,0,1,measured
126,AE71,0,1,measured
127,F612,0,1,measured
128,3F41,0,1,measured
129,90C5,0,1,measured
130,D221,0,1,measured
131,1F9E,0,1,measured
132,6999,0,1,measured
133,ADD8,0,1,measured
134,FB77,0,1,measured
135,454B,0,1,measured
136,8DDD,0,1,measured
140,70A7,0,1,measured
141,C2D4,0,1,measured
142,69DF,0,1,measured
144,EE00,0,1,measured
145,3630,0,1,measured
146,7F73,0,1,measured
147,C8D1,0,1,measured
148,12D4,0,1,measured
149,5C03,0,1,measured
154,F144,0,1,measured
155,153A,0,1,measured
156,62ED,0,1,measured
159,4036,0,1,measured
160,880A,0,1,measured
161,CEC8,0,1,measured
162,170B,0,1,measured
164,8DED,0,1,measured
168,B440,0,1,measured
169,FDA4,0,1,measured
170,4254,0,1,measured
171,8F37,0,1,measured
174,6C20,0,1,measured
175,B31D,0,1,measured
176,DEB4,0,1,measured
177,0C5D,0,1,measured
182,CB61,0,1,measured
183,140B,0,1,measured
184,5DB1,0,1,measured
189,CE64,0,1,measured
190,14AF,0,1,measured
191,5E71,0,1,measured
192,A7C5,0,1,measured
193,128E,0,1,measured
194,39B2,0,1,measured
196,D24A,0,1,measured
197,18B6,0,1,measured
198,626A,0,1,measured
203,BDD3,0,1,measured
204,0350,0,1,measured
205,4CAE,0,1,measured
207,01C6,0,1,measured
208,4ADE,0,1,measured
209,9692,0,1,measured
210,DD1D,0,1,measured
211,26DC,0,1,measured
212,7108,0,1,measured
213,B5E4,0,1,measured
217,B9F9,0,1,measured
218,035D,0,1,measured
219,8873,0,1,measured
220,AB21,0,1,measured
221,F4B7,0,1,measured
222,3D22,0,1,measured
224,CF29,0,1,measured
225,18D7,0,1,measured
226,61A9,0,1,measured
228,D149,0,1,measured
231,A140,0,1,measured
232,EC5A,0,1,measured
233,318D,0,1,measured
234,7B37,0,1,measured
235,C37C,0,1,measured
236,0CCB,0,1,measured
238,9F48,0,1,measured
239,E87F,0,1,measured
240,31D7,0,1,measured
241,5D54,0,1,measured
242,881A,0,1,measured
245,AEEA,0,1,measured
246,FCDE,0,1,measured
247,46BA,0,1,measured
249,D868,0,1,measured
250,21CD,0,1,measured
251,69BE,0,1,measured
252,B319,0,1,measured
253,F4D1,0,1,measured
254,3311,0,1,measured
259,DA89,0,1,measured
260,1FCB,0,1,measured
261,6D69,0,1,measured
263,FF91,0,1,measured
264,4912,0,1,measured
265,9129,0,1,measured
266,9129,0,1,measured
267,BFFB,0,1,measured
268,1524,0,1,measured
269,5434,0,1,measured
274,DF34,0,1,measured
275,287A,0,1,measured
276,6D46,0,1,measured
277,BBAD,0,1,measured
278,0438,0,1,measured
280,9311,0,1,measured
281,DBC8,0,1,measured
282,2245,0,1,measured
287,D849,0,1,measured
288,21DE,0,1,measured
289,848E,0,1,measured
294,DAB4,0,1,measured
295,2294,0,1,measured
296,8919,0,1,measured
297,B8A6,0,1,measured
298,561F,0,1,measured
299,A069,0,1,measured
300,E977,0,1,measured
301,2F13,0,1,measured
302,6CBF,0,1,measured
303,B5F3,0,1,measured
308,C7F9,0,1,measured
309,49FD,0,1,measured
310,7425,0,1,measured
311,BDA3,0,1,measured
