offset,seed,band,boots,how
8,7B07,0,1,measured
9,C3DA,0,1,measured
10,0D1A,0,1,measured
11,565C,0,1,measured
12,9F97,0,1,measured
13,9F56,0,1,measured
14,C1DF,0,1,measured
15,0C45,0,1,measured
16,0C45,0,1,measured
17,537D,0,1,measured
22,DFBF,0,1,measured
23,1DD6,0,1,measured
25,AF64,0,1,measured
26,F8A7,0,1,measured
27,41E7,0,1,measured
28,6AB2,0,1,measured
29,7DBD,0,1,measured
30,C6FD,0,1,measured
31,0F5A,0,1,measured
35,3076,0,1,measured
36,7D99,0,1,measured
37,7D99,0,1,measured
38,C6E4,0,1,measured
39,101A,0,1,measured
42,7E6A,0,1,measured
43,C581,0,1,measured
44,0D0C,0,1,measured
45,558A,0,1,measured
46,A7B8,0,1,measured
47,EC58,0,1,measured
51,F53A,0,1,measured
52,4863,0,1,measured
53,9236,0,1,measured
54,DAD9,0,1,measured
55,2336,0,1,measured
56,9B9C,0,1,measured
57,E517,0,1,measured
58,2F46,0,1,measured
59,78FE,0,1,measured
64,3818,0,1,measured
65,53B4,0,1,measured
70,C66A,0,1,measured
71,133D,0,1,measured
72,5606,0,1,measured
73,CB69,0,1,measured
74,EBB9,0,1,measured
75,3643,0,1,measured
78,1069,0,1,measured
79,5A88,0,1,measured
85,10E0,0,1,measured
86,5C77,0,1,measured
87,A3B4,0,1,measured
88,EDEE,0,1,measured
89,EDEE,0,1,measured
90,373C,0,1,measured
91,AB5F,0,1,measured
92,CA49,0,1,measured
93,14C0,0,1,measured
94,5C26,0,1,measured
96,3831,0,1,measured
99,3E12,0,1,measured
100,5D82,0,1,measured
101,A9A8,0,1,measured
102,F09E,0,1,measured
103,384E,0,1,measured
104,8238,0,1,measured
105,CC3E,0,1,measured
106,15B6,0,1,measured
107,87FA,0,1,measured
114,145F,0,1,measured
115,5E8A,0,1,measured
117,1E45,0,1,measured
118,353C,0,1,measured
119,7EB9,0,1,measured
121,593C,0,1,measured
127,FD0D,0,1,measured
128,4779,0,1,measured
129,9645,0,1,measured
130,D921,0,1,measured
131,278F,0,1,measured
132,6FF5,0,1,measured
133,B4E6,0,1,measured
134,0319,0,1,measured
135,4B94,0,1,measured
136,94E7,0,1,measured
137,DE4E,0,1,measured
141,CA7D,0,1,measured
142,7036,0,1,measured
143,A924,0,1,measured
144,F4B6,0,1,measured
146,86B9,0,1,measured
147,D078,0,1,measured
148,1927,0,1,measured
149,6255,0,1,measured
150,AB89,0,1,measured
155,1C37,0,1,measured
156,69F6,0,1,measured
157,B3A6,0,1,measured
159,4582,0,1,measured
160,8EC2,0,1,measured
161,D861,0,1,measured
162,1EE5,0,1,measured
163,4B7D,0,1,measured
164,94EE,0,1,measured
165,DDB6,0,1,measured
169,049E,0,1,measured
170,495E,0,1,measured
171,9639,0,1,measured
176,E5F8,0,1,measured
177,135A,0,1,measured
179,A52E,0,1,measured
183,1AEC,0,1,measured
184,64BC,0,1,measured
185,A9C6,0,1,measured
186,F4CF,0,1,measured
190,1BC6,0,1,measured
191,676F,0,1,measured
192,AC67,0,1,measured
193,192F,0,1,measured
194,40AB,0,1,measured
195,8D71,0,1,measured
197,1FB1,0,1,measured
198,6973,0,1,measured
199,B3AE,0,1,measured
204,0A45,0,1,measured
205,53A8,0,1,measured
206,D7A0,0,1,measured
207,08C9,0,1,measured
208,524C,0,1,measured
209,9D8F,0,1,measured
210,E422,0,1,measured
211,2D85,0,1,measured
212,7AA7,0,1,measured
213,BDC4,0,1,measured
218,0A58,0,1,measured
219,8D9D,0,1,measured
220,B229,0,1,measured
221,FD8B,0,1,measured
222,4428,0,1,measured
223,8CE7,0,1,measured
224,D62C,0,1,measured
225,1FD2,0,1,measured
226,68C6,0,1,measured
227,B113,0,1,measured
229,1587,0,1,measured
232,F353,0,1,measured
233,3884,0,1,measured
234,814E,0,1,measured
236,140D,0,1,measured
237,5DAE,0,1,measured
238,A644,0,1,measured
239,EF7B,0,1,measured
240,38D7,0,1,measured
241,644C,0,1,measured
245,B5F0,0,1,measured
246,03D8,0,1,measured
247,4DB4,0,1,measured
248,950B,0,1,measured
249,DF1F,0,1,measured
251,724D,0,1,measured
252,BA1A,0,1,measured
253,FBCC,0,1,measured
254,3A12,0,1,measured
255,82E2,0,1,measured
256,CC15,0,1,measured
258,986C,0,1,measured
260,26C9,0,1,measured
261,7471,0,1,measured
262,BC6F,0,1,measured
263,068A,0,1,measured
267,C743,0,1,measured
268,1C1C,0,1,measured
269,5B34,0,1,measured
275,2F74,0,1,measured
276,7446,0,1,measured
277,C2AC,0,1,measured
278,0B3F,0,1,measured
281,E2B9,0,1,measured
282,2944,0,1,measured
283,D8AA,0,1,measured
284,03D7,0,1,measured
288,28CE,0,1,measured
289,8B97,0,1,measured
290,B6A8,0,1,measured
295,2946,0,1,measured
296,9176,0,1,measured
297,BFA5,0,1,measured
300,F0BF,0,1,measured
301,39A7,0,1,measured
302,74A0,0,1,measured
303,BCF3,0,1,measured
309,4F1F,0,1,measured
310,7B24,0,1,measured
311,C67F,0,1,measured
312,0CCB,0,1,measured
313,5694,0,1,measured
314,9FDD,0,1,measured
315,0089,0,1,measured
316,31F6,0,1,measured
322,2A24,0,1,measured
325,BCDD,0,1,measured
