offset,seed,band,boots,how
6,09AC,0,1,measured
8,7B0A,0,1,measured
9,C3D6,0,1,measured
10,0D24,0,1,measured
11,565A,0,1,measured
12,9F9A,0,1,measured
13,9F53,0,1,measured
14,C1E6,0,1,measured
15,0C4D,0,1,measured
16,0C4D,0,1,measured
17,5380,0,1,measured
18,E6D9,0,1,measured
19,2F46,0,1,measured
20,71F6,0,1,measured
21,C035,0,1,measured
22,DFC3,0,1,measured
23,1DCE,0,1,measured
24,6627,0,1,measured
25,AF62,0,1,measured
26,F8B0,0,1,measured
27,41E8,0,1,measured
28,6AA9,0,1,measured
29,7DC1,0,1,measured
31,0F64,0,1,measured
32,589A,0,1,measured
33,A1DC,0,1,measured
34,EB1A,0,1,measured
35,3078,0,1,measured
36,7D9D,0,1,measured
37,7D9D,0,1,measured
38,C6D6,0,1,measured
39,1024,0,1,measured
41,325F,0,1,measured
42,7CCD,0,1,measured
43,C726,0,1,measured
44,0D07,0,1,measured
45,5587,0,1,measured
46,A67B,0,1,measured
47,EC5E,0,1,measured
48,3566,0,1,measured
49,76F2,0,1,measured
50,B543,0,1,measured
51,F53F,0,1,measured
52,485E,0,1,measured
53,9235,0,1,measured
54,DA27,0,1,measured
55,2330,0,1,measured
56,9B31,0,1,measured
58,2F40,0,1,measured
59,78FF,0,1,measured
60,BFD4,0,1,measured
61,068F,0,1,measured
62,4F9F,0,1,measured
63,78AC,0,1,measured
64,381B,0,1,measured
65,53B0,0,1,measured
66,A309,0,1,measured
67,EA5B,0,1,measured
68,34B2,0,1,measured
69,7C71,0,1,measured
70,C669,0,1,measured
71,107B,0,1,measured
72,5A01,0,1,measured
74,EBB8,0,1,measured
75,3641,0,1,measured
76,7D9C,0,1,measured
77,C7F2,0,1,measured
79,5A84,0,1,measured
80,9F0E,0,1,measured
81,EBEC,0,1,measured
82,5F1C,0,1,measured
83,7EF8,0,1,measured
84,C983,0,1,measured
85,10E3,0,1,measured
86,5B2F,0,1,measured
87,A619,0,1,measured
88,EDD7,0,1,measured
89,EDD7,0,1,measured
90,35E5,0,1,measured
91,AAE2,0,1,measured
92,CA41,0,1,measured
93,14C7,0,1,measured
94,5C29,0,1,measured
95,E98B,0,1,measured
97,823E,0,1,measured
98,CBCE,0,1,measured
99,3E15,0,1,measured
100,5D7D,0,1,measured
101,A808,0,1,measured
102,F238,0,1,measured
103,3845,0,1,measured
104,8232,0,1,measured
106,15C2,0,1,measured
107,87F7,0,1,measured
108,A68D,0,1,measured
109,F0FA,0,1,measured
110,33A3,0,1,measured
111,33A3,0,1,measured
112,82B4,0,1,measured
114,1464,0,1,measured
115,5E87,0,1,measured
116,A80C,0,1,measured
117,1C67,0,1,measured
118,3717,0,1,measured
119,7EB7,0,1,measured
120,C72B,0,1,measured
121,5939,0,1,measured
122,A2E9,0,1,measured
123,EBDF,0,1,measured
124,342C,0,1,measured
125,729F,0,1,measured
126,B436,0,1,measured
127,FD11,0,1,measured
128,4775,0,1,measured
130,D92B,0,1,measured
131,269E,0,1,measured
133,B4E3,0,1,measured
134,031D,0,1,measured
135,4B8E,0,1,measured
136,94DE,0,1,measured
137,DE49,0,1,measured
138,094C,0,1,measured
139,3840,0,1,measured
140,770B,0,1,measured
141,CA84,0,1,measured
142,7038,0,1,measured
143,A929,0,1,measured
144,F4C2,0,1,measured
145,3D27,0,1,measured
146,8672,0,1,measured
147,D0C3,0,1,measured
148,1928,0,1,measured
149,6251,0,1,measured
