offset,seed,band,boots,how
6,9ADA,0,1,measured
7,C2D5,0,1,measured
8,0C3E,0,1,measured
9,551A,0,1,measured
10,9E51,0,1,measured
11,E791,0,1,measured
12,30D1,0,1,measured
13,308D,0,1,measured
14,5314,0,1,measured
15,9D74,0,1,measured
16,9D74,0,1,measured
17,E4BD,0,1,measured
18,76A0,0,1,measured
19,BE98,0,1,measured
20,0334,0,1,measured
21,50F2,0,1,measured
22,7100,0,1,measured
23,AF0F,0,1,measured
24,F75E,0,1,measured
25,40A3,0,1,measured
26,89DE,0,1,measured
27,D327,0,1,measured
28,FBE0,0,1,measured
29,0EFD,0,1,measured
30,583C,0,1,measured
31,A09A,0,1,measured
32,E9D1,0,1,measured
33,330F,0,1,measured
34,7C51,0,1,measured
35,C1AD,0,1,measured
36,0ED9,0,1,measured
37,0ED9,0,1,measured
38,581C,0,1,measured
39,A15A,0,1,measured
40,A010,0,1,measured
41,C394,0,1,measured
42,0DF7,0,1,measured
43,5589,0,1,measured
44,9FD5,0,1,measured
45,E78C,0,1,measured
46,3675,0,1,measured
47,8001,0,1,measured
48,C705,0,1,measured
49,0826,0,1,measured
50,467A,0,1,measured
51,8668,0,1,measured
52,D999,0,1,measured
53,2369,0,1,measured
54,6B66,0,1,measured
55,B464,0,1,measured
56,2C66,0,1,measured
57,7564,0,1,measured
58,BFC6,0,1,measured
59,0A3C,0,1,measured
60,5106,0,1,measured
61,97C6,0,1,measured
62,E0D3,0,1,measured
63,09D9,0,1,measured
64,C956,0,1,measured
65,E4F2,0,1,measured
66,3436,0,1,measured
67,7B91,0,1,measured
68,C5EE,0,1,measured
69,0DB8,0,1,measured
70,57AB,0,1,measured
71,A1AE,0,1,measured
72,EB3F,0,1,measured
73,5DF0,0,1,measured
74,7CEF,0,1,measured
75,C776,0,1,measured
76,0ED1,0,1,measured
77,5A64,0,1,measured
78,A19C,0,1,measured
79,EBDE,0,1,measured
80,3098,0,1,measured
81,7A75,0,1,measured
82,EF6A,0,1,measured
83,1035,0,1,measured
84,5AC4,0,1,measured
85,A217,0,1,measured
86,EC6F,0,1,measured
87,34E3,0,1,measured
88,7EF7,0,1,measured
89,7EF7,0,1,measured
90,C81B,0,1,measured
91,3C12,0,1,measured
92,5B77,0,1,measured
93,A78F,0,1,measured
94,EE8C,0,1,measured
95,7B1C,0,1,measured
96,C95F,0,1,measured
97,1368,0,1,measured
98,5BAB,0,1,measured
99,CECD,0,1,measured
100,EEC2,0,1,measured
101,3940,0,1,measured
102,809D,0,1,measured
103,CAFD,0,1,measured
104,1372,0,1,measured
105,5D74,0,1,measured
106,A6A6,0,1,measured
107,1AA5,0,1,measured
108,3929,0,1,measured
109,806A,0,1,measured
110,C60C,0,1,measured
111,C60C,0,1,measured
112,1279,0,1,measured
113,5C23,0,1,measured
114,A593,0,1,measured
115,EFB2,0,1,measured
116,37F2,0,1,measured
117,AD33,0,1,measured
118,C67A,0,1,measured
119,0F8B,0,1,measured
120,592B,0,1,measured
121,EA6D,0,1,measured
122,3540,0,1,measured
123,7D0B,0,1,measured
124,C561,0,1,measured
125,03D5,0,1,measured
126,456B,0,1,measured
127,8E44,0,1,measured
128,D76F,0,1,measured
129,2772,0,1,measured
130,6A62,0,1,measured
131,B7D5,0,1,measured
132,01D7,0,1,measured
133,461D,0,1,measured
134,93A9,0,1,measured
135,DD79,0,1,measured
136,261E,0,1,measured
137,6FCE,0,1,measured
138,9A82,0,1,measured
139,C8D1,0,1,measured
140,0838,0,1,measured
141,5BB1,0,1,measured
142,0169,0,1,measured
143,3A63,0,1,measured
144,85EB,0,1,measured
145,CE64,0,1,measured
146,17A9,0,1,measured
147,6114,0,1,measured
148,AB0C,0,1,measured
149,F443,0,1,measured
150,3CC1,0,1,measured
151,7E54,0,1,measured
152,BCEB,0,1,measured
153,0592,0,1,measured
154,8981,0,1,measured
155,AD73,0,1,measured
156,FB25,0,1,measured
157,44D5,0,1,measured
158,8D13,0,1,measured
159,D6B9,0,1,measured
160,1FED,0,1,measured
161,6994,0,1,measured
162,B028,0,1,measured
163,DCBA,0,1,measured
164,262B,0,1,measured
165,6EF3,0,1,measured
166,B816,0,1,measured
167,36C2,0,1,measured
168,4C83,0,1,measured
169,9648,0,1,measured
170,D9C3,0,1,measured
171,2714,0,1,measured
172,705B,0,1,measured
173,BA03,0,1,measured
174,02D1,0,1,measured
175,4B61,0,1,measured
176,76EF,0,1,measured
177,A493,0,1,measured
178,EDA6,0,1,measured
179,37A6,0,1,measured
180,E95B,0,1,measured
181,1A6F,0,1,measured
182,65DF,0,1,measured
183,AC3B,0,1,measured
184,F5F1,0,1,measured
185,3AAA,0,1,measured
186,88AC,0,1,measured
187,EB8F,0,1,measured
188,1B46,0,1,measured
189,645D,0,1,measured
190,ACF4,0,1,measured
191,F6A9,0,1,measured
192,4047,0,1,measured
193,AB46,0,1,measured
194,D1FA,0,1,measured
195,1EA8,0,1,measured
196,6A85,0,1,measured
197,B2F8,0,1,measured
198,F802,0,1,measured
199,43F7,0,1,measured
200,813F,0,1,measured
201,D2F8,0,1,measured
202,1491,0,1,measured
203,5605,0,1,measured
204,9B82,0,1,measured
205,E4E5,0,1,measured
206,66FD,0,1,measured
207,9A06,0,1,measured
208,E316,0,1,measured
209,2ED1,0,1,measured
210,754F,0,1,measured
211,BF0E,0,1,measured
212,0948,0,1,measured
213,4E16,0,1,measured
214,9726,0,1,measured
215,B73F,0,1,measured
216,0CC6,0,1,measured
217,523A,0,1,measured
218,9B8E,0,1,measured
219,1ED6,0,1,measured
220,435E,0,1,measured
221,8C7F,0,1,measured
222,D628,0,1,measured
223,1E93,0,1,measured
224,6775,0,1,measured
225,B08C,0,1,measured
226,FA64,0,1,measured
227,4374,0,1,measured
228,6982,0,1,measured
229,A6B5,0,1,measured
230,EAA7,0,1,measured
231,3842,0,1,measured
232,8494,0,1,measured
233,C9C4,0,1,measured
234,1285,0,1,measured
235,5C68,0,1,measured
236,A4FA,0,1,measured
237,EE37,0,1,measured
238,3832,0,1,measured
239,80A9,0,1,measured
240,CA05,0,1,measured
241,F4DA,0,1,measured
242,2097,0,1,measured
243,68BD,0,1,measured
244,3670,0,1,measured
245,4725,0,1,measured
246,9507,0,1,measured
247,DEF3,0,1,measured
248,264A,0,1,measured
249,7056,0,1,measured
250,B8C0,0,1,measured
251,033F,0,1,measured
252,4C02,0,1,measured
253,8D03,0,1,measured
254,CB47,0,1,measured
255,1422,0,1,measured
256,5D42,0,1,measured
257,F4B4,0,1,measured
258,2999,0,1,measured
259,72C2,0,1,measured
260,B860,0,1,measured
261,047B,0,1,measured
262,4E79,0,1,measured
263,96F6,0,1,measured
264,E0F9,0,1,measured
265,2960,0,1,measured
266,2960,0,1,measured
267,5794,0,1,measured
268,AE0E,0,1,measured
269,ED36,0,1,measured
270,3679,0,1,measured
271,A9F6,0,1,measured
272,E6DF,0,1,measured
273,2ED8,0,1,measured
274,778D,0,1,measured
275,C0CC,0,1,measured
276,063B,0,1,measured
277,5356,0,1,measured
278,9C84,0,1,measured
279,E5D0,0,1,measured
280,2B65,0,1,measured
281,7411,0,1,measured
282,BA9C,0,1,measured
283,69F0,0,1,measured
284,952B,0,1,measured
285,DE38,0,1,measured
286,26EC,0,1,measured
287,7298,0,1,measured
288,B78C,0,1,measured
289,1C08,0,1,measured
290,4806,0,1,measured
291,95B8,0,1,measured
292,DF75,0,1,measured
293,27BC,0,1,measured
294,715E,0,1,measured
295,BA8D,0,1,measured
296,20E4,0,1,measured
297,5100,0,1,measured
298,EE64,0,1,measured
299,38BA,0,1,measured
300,81C8,0,1,measured
301,C754,0,1,measured
302,0506,0,1,measured
303,4E4A,0,1,measured
304,8BAE,0,1,measured
305,8BAE,0,1,measured
306,CE34,0,1,measured
307,16FF,0,1,measured
308,6043,0,1,measured
309,E071,0,1,measured
310,0C76,0,1,measured
